add-m,1,10000,20000,561633,28,0
add-s,1,10000,20000,233730,11,0
add-m,2,10000,40000,842429,21,0
add-s,2,10000,40000,444294,11,0
add-m,4,10000,80000,1771784,22,0
add-s,4,10000,80000,868710,10,0
add-m,8,10000,160000,5988746,37,0
add-s,8,10000,160000,1740310,10,0
add-m,12,10000,240000,13007643,54,0
add-s,12,10000,240000,2686923,11,0
